name,category,tags,desc
"DOF: Summary of Neighborhood Sales Citywide for Class 1-, 2- and 3-Family homes - 2008",Finances,"department of finance, finance, dof, property, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of all neighborhood sales for Class 1-, 2- and 3-Family homes Citywide in 2008.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale."
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Patrol Borough Manhattan South 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually"
Disposition Of Offensive Language Allegations 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Offensive Language Allegations 2009
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Special Operations Division 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - by Disability Status,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
Manhattan Noise 2004 Test  - Addenum 1,Other,"311, 311 service requests, 2004, ...",311 Service Requests for 2004. This is historical data and will not be updated.
CCRB: Age of Substantiated Cases Measured from the Date of Report 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ...","A statistical breakdown of the age of Civilian Complaint Review Board (CCRB) substantiated cases, by year, measured from the date of the reports in the years 2205 through 2009.The age of the docket is measured by the number of open cases at the end of each reporting period."
Disposition Of Discourtesy Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Discourtesy Allegations 2005 - 2009
DOF: Condominium Comparable Rental Income – Brooklyn – FY 2008/2009,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
Manhattan 2009 TC Reductions,"","2009, tax, commission, apply, application, assess, ...",Tax Commission Actions on Applications in year 2009 Reducing Assessments or Reclassifying Property.
CCRB: Attribution of Complaints to Deputy Commissioners and Miscellaneous Commands 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
2003 Campaign Payments,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of campaign payments for candidates for City office during 2001 election cycle
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Patrol Borough Staten Island 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
2,Health,"health, safety, geographic, map, cartography, ...","Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence."
Disposition Of Discourtesy Allegations 2007,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Discourtesy Allegations 2007
CCRB: Attribution of Complaints to Patrol Borough Brooklyn North 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
Disposition Of Force Allegations 2008,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Force Allegations 2008
DOF: Cooperative Comparable Rental Income – Bronx – FY 2009/2010,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
nypd_DS,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Patrol Borough Brooklyn South 2005 – 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
gas1,Environmental Sustainability,"energy, gas, power, environment, utilities, ...","2010 Natural Gas consumption in therms and GJ, by ZIP code, building type, and utility company."
